date,year,month,longitude,latitude,NDVI,Light,AnomalyScore
2025-01-01,2025,1,76.28807803092418,27.20502922191765,0.14192907512187958,14.9399995803833,14.798070907592773
2025-01-01,2025,1,76.28717971564006,27.20413090663353,0.15003269910812378,14.9399995803833,14.789966583251953
2025-01-01,2025,1,76.28807803092418,27.20413090663353,0.15658271312713623,14.9399995803833,14.783416748046875
2025-01-01,2025,1,76.28717971564006,27.20592753720177,0.17132830619812012,14.9399995803833,14.768671035766602
2025-01-01,2025,1,76.28717971564006,27.20502922191765,0.1775464564561844,14.9399995803833,14.762453079223633
2025-01-01,2025,1,76.2889763462083,27.20502922191765,0.1781207025051117,14.9399995803833,14.761878967285156
2025-01-01,2025,1,76.28807803092418,27.203232591349412,0.17925073206424713,14.9399995803833,14.760748863220215
2025-01-01,2025,1,76.28807803092418,27.20592753720177,0.1851993054151535,14.9399995803833,14.754799842834473
2025-01-01,2025,1,76.2889763462083,27.20413090663353,0.18958629667758942,14.9399995803833,14.750412940979004
2025-01-01,2025,1,76.28628140035595,27.20413090663353,0.1971123218536377,14.9399995803833,14.742887496948242
2025-01-01,2025,1,76.28628140035595,27.20592753720177,0.19914424419403076,14.9399995803833,14.74085521697998
2025-01-01,2025,1,76.2889763462083,27.20592753720177,0.19995851814746857,14.9399995803833,14.74004077911377
2025-01-01,2025,1,76.2889763462083,27.20233427606529,0.21781259775161743,14.9399995803833,14.722187042236328
2025-01-01,2025,1,76.28807803092418,27.20233427606529,0.2285780906677246,14.9399995803833,14.711421966552734
2025-01-01,2025,1,76.2889763462083,27.203232591349412,0.2297029346227646,14.9399995803833,14.710296630859375
2025-01-01,2025,1,76.28717971564006,27.203232591349412,0.2334156334400177,14.9399995803833,14.706583976745605
2025-01-01,2025,1,76.28628140035595,27.20502922191765,0.23618465662002563,14.9399995803833,14.703814506530762
2025-01-01,2025,1,76.28717971564006,27.20233427606529,0.28266358375549316,14.9399995803833,14.657336235046387
2025-01-01,2025,1,76.28628140035595,27.203232591349412,0.315843403339386,14.9399995803833,14.62415599822998
2025-01-01,2025,1,76.28628140035595,27.20233427606529,0.3206217288970947,14.9399995803833,14.619378089904785
2025-01-01,2025,1,76.29167129206067,27.20592753720177,0.12978896498680115,13.6899995803833,13.560210227966309
2025-01-01,2025,1,76.29077297677655,27.20502922191765,0.1366766393184662,13.6899995803833,13.553322792053223
2025-01-01,2025,1,76.29077297677655,27.20592753720177,0.14430087804794312,13.6899995803833,13.545699119567871
2025-01-01,2025,1,76.29256960734479,27.20592753720177,0.14714929461479187,13.6899995803833,13.542850494384766
2025-01-01,2025,1,76.29077297677655,27.20413090663353,0.17659740149974823,13.6899995803833,13.513401985168457
2025-01-01,2025,1,76.2934679226289,27.20233427606529,0.18431007862091064,13.6899995803833,13.50568962097168
2025-01-01,2025,1,76.29256960734479,27.20233427606529,0.19660590589046478,13.6899995803833,13.493393898010254
2025-01-01,2025,1,76.2934679226289,27.20592753720177,0.19665174186229706,13.6899995803833,13.493348121643066
2025-01-01,2025,1,76.2934679226289,27.203232591349412,0.2013271003961563,13.6899995803833,13.488672256469727
2025-01-01,2025,1,76.28987466149242,27.20502922191765,0.20715640485286713,13.6899995803833,13.482843399047852
2025-01-01,2025,1,76.29167129206067,27.20502922191765,0.20816825330257416,13.6899995803833,13.481831550598145
2025-01-01,2025,1,76.28987466149242,27.20592753720177,0.21448856592178345,13.6899995803833,13.475510597229004
2025-01-01,2025,1,76.29256960734479,27.20502922191765,0.21577611565589905,13.6899995803833,13.474223136901855
2025-01-01,2025,1,76.29256960734479,27.203232591349412,0.21674196422100067,13.6899995803833,13.473258018493652
2025-01-01,2025,1,76.29167129206067,27.20413090663353,0.21813443303108215,13.6899995803833,13.471864700317383
2025-01-01,2025,1,76.29077297677655,27.20233427606529,0.2226959466934204,13.6899995803833,13.467303276062012
2025-01-01,2025,1,76.2934679226289,27.20502922191765,0.22576862573623657,13.6899995803833,13.46423053741455
2025-01-01,2025,1,76.2934679226289,27.20413090663353,0.2312849462032318,13.6899995803833,13.458714485168457
2025-01-01,2025,1,76.29256960734479,27.20413090663353,0.24227707087993622,13.6899995803833,13.447722434997559
2025-01-01,2025,1,76.29167129206067,27.20233427606529,0.2435857504606247,13.6899995803833,13.44641399383545
2025-01-01,2025,1,76.28987466149242,27.20413090663353,0.26463356614112854,13.6899995803833,13.425366401672363
2025-01-01,2025,1,76.29167129206067,27.203232591349412,0.26560917496681213,13.6899995803833,13.42439079284668
2025-01-01,2025,1,76.29077297677655,27.203232591349412,0.30925706028938293,13.6899995803833,13.380742073059082
2025-01-01,2025,1,76.28987466149242,27.203232591349412,0.3525172472000122,13.6899995803833,13.337482452392578
2025-01-01,2025,1,76.28987466149242,27.20233427606529,0.46056434512138367,13.6899995803833,13.229434967041016
2025-01-01,2025,1,76.28807803092418,27.198741014928814,0.17908205091953278,9.90999984741211,9.730917930603027
2025-01-01,2025,1,76.28628140035595,27.198741014928814,0.20694907009601593,9.90999984741211,9.70305061340332
2025-01-01,2025,1,76.28717971564006,27.199639330212932,0.22265814244747162,9.90999984741211,9.687341690063477
2025-01-01,2025,1,76.28717971564006,27.198741014928814,0.22326120734214783,9.90999984741211,9.686738967895508
2025-01-01,2025,1,76.28628140035595,27.199639330212932,0.22753266990184784,9.90999984741211,9.682467460632324
2025-01-01,2025,1,76.28807803092418,27.200537645497054,0.24968285858631134,9.90999984741211,9.660317420959473
2025-01-01,2025,1,76.28807803092418,27.201435960781172,0.2554702162742615,9.90999984741211,9.654529571533203
