date,year,month,NDVI,Light,coordinates
2023-01-01,2023,1,0.2997108755803048,0.5595538098696703,"[76.2, 27.0, 76.5, 27.3]"
2023-02-01,2023,2,0.25046480430445106,0.8035869170504722,"[76.2, 27.0, 76.5, 27.3]"
2023-03-01,2023,3,0.1934573392623362,0.8801393724919824,"[76.2, 27.0, 76.5, 27.3]"
2023-04-01,2023,4,0.17484080541124322,0.9320178733978698,"[76.2, 27.0, 76.5, 27.3]"
2023-05-01,2023,5,0.16141960134838454,0.8477581955985901,"[76.2, 27.0, 76.5, 27.3]"
2023-06-01,2023,6,0.22399585062963226,0.7459638816803,"[76.2, 27.0, 76.5, 27.3]"
2023-07-01,2023,7,0.3317543313016215,0.671650011930005,"[76.2, 27.0, 76.5, 27.3]"
2023-08-01,2023,8,0.2700058114764124,0.7786550869815035,"[76.2, 27.0, 76.5, 27.3]"
2023-09-01,2023,9,0.40683566912820657,0.7537016628438375,"[76.2, 27.0, 76.5, 27.3]"
2023-10-01,2023,10,0.26687800345841994,0.926754693369151,"[76.2, 27.0, 76.5, 27.3]"
2023-11-01,2023,11,0.19642686650563357,1.0591639233878616,"[76.2, 27.0, 76.5, 27.3]"
2023-12-01,2023,12,0.23773265209794817,0.9643478044196376,"[76.2, 27.0, 76.5, 27.3]"
